block,treat,time,pH,ave_BD ,ave_soil_dept,ave_soil_moist,ave_soil_temp,soil_gm2,soil_d15N,soil_precN,soil_precC,soil_15N_at_prec,soil_mass_sol_rec,soil_prec_sol_rec,soil_N_gm2,soil_C_gm2,FR_gm2,FR_d15N,FR_precN,FR_precC,FR_15N_at_prec,FR_mass_sol_rec,FR_prec_sol_rec,FR_N_gm2,FR_C_gm2,CR_gm2,CR_d15N,CR_precN,CR_precC,CR_15N_at_prec,CR_mass_sol_rec,CR_prec_sol_rec,CR_N_gm2,CR_C_gm2,lichen_gm2,lichen_d15N,lichen_precN,lichen_precC,lichen_15N_at_prec,lichen_mass_sol_rec,lichen_prec_sol_rec,lichen_N_gm2,lichen_C_gm2,crow_gm2,crow_d15N,crow_precN,crow_precC,crow_15N_at_prec,crow_mass_sol_rec,crow_prec_sol_rec,crow_N_gm2,crow_C_gm2,Kleaf_gm2,Kleaf_d15N,Kleaf_precN,Kleaf_precC,Kleaf_15N_at_prec,Kleaf_mass_sol_rec,Kleaf_prec_sol_rec,Kleaf_N_gm2,Kleaf_C_gm2,Kstem_gm2,Kstem_d15N,Kstem_precN,Kstem_precC,Kstem_15N_at_prec,Kstem_mass_sol_rec,Kstem_prec_sol_rec,Kstem_N_gm2,Kstem_C_gm2,lingon_gm2,lingon_d15N,lingon_precN,lingon_precC,lingon_15N_at_prec,lingon_mass_sol_rec,lingon_prec_sol_rec,lingon_N_gm2,lingon_C_gm2,moss_gm2,moss_d15N,moss_precN,moss_precC,moss_15N_at_prec,moss_mass_sol_rec,moss_prec_sol_rec,moss_N_gm2,moss_C_gm2,Oleaf_gm2,Oleaf_d15N,Oleaf_precN,Oleaf_precC,Oleaf_15N_at_prec,Oleaf_mass_sol_rec,Oleaf_prec_sol_rec,Oleaf_N_gm2,Oleaf_C_gm2,Ostem_gm2,Ostem_d15N,Ostem_precN,Ostem_precC,Ostem_15N_at_prec,Ostem_mass_sol_rec,Ostem_prec_sol_rec,Ostem_N_gm2,Ostem_C_gm2,tot_abvg_biomass_gm2,tot_forage_biomass_gm2,N_stock_forage_gm2,C_stock_forage_gm2,total_eco_N_rec,prec_eco_N_rec,forage_N_rec,forage_prec_N_rec
1,C,Baseline,4.4,0.0756694,9.1071429,27.9,1,1236.624,0.9448773,0.2582136,12.2764675,0.9448773,NA,NA,31.9313176,1518.137487,333.8217946,8.0202582,0.475536,53.7514669,0.3705986,NA,NA,1.5874428,179.4341115,1454.67618,20.7868646,0.573752,51.320657,0.3752923,NA,NA,8.346234,746.5493721,12.8,27.7047024,0.3864426,42.2913479,0.3778356,NA,NA,0.0494647,5.4132925,569.6,5.1828255,0.2708745,55.9299988,0.3695555,NA,NA,1.5429009,318.5772734,54.88,-4.9094031,1.1578552,54.3347271,0.3658451,NA,NA,0.635431,29.8188982,131.68,-2.9731354,1.1432358,56.6573708,0.3665569,NA,NA,1.5054129,74.6064259,28.16,-8.7579454,0.6378564,52.5483803,0.3644301,NA,NA,0.1796204,14.7976239,22.4,61.4226357,0.5965157,45.1435726,0.390232,NA,NA,0.1336195,10.1121603,14.56,NA,NA,NA,0.3663,NA,NA,NA,NA,120.96,NA,NA,NA,0.3663,NA,NA,NA,NA,955.04,687.84,2.5410364,378.7192483,NA,NA,NA,NA
1,T,Baseline,4.5,0.1730153,8.8395714,22.75,3.9,2941.0819,-1.4723231,0.6892301,30.7607095,-1.4723231,NA,NA,202.7082246,9046.976682,493.8993607,4.0619834,0.5456782,53.3237422,0.3691434,NA,NA,2.6951011,263.3656216,926.6637407,25.8917744,0.5746675,53.4009043,0.3771691,NA,NA,5.3252349,494.846817,0,94.4504965,0.3790218,44.4809199,0.3999522,NA,NA,0,0,555.84,-7.5775761,0.313759,56.8035741,0.3648641,NA,NA,1.7439982,315.7369862,65.12,-7.3653331,1.3163839,54.3705,0.3649421,NA,NA,0.8572292,35.4060696,276.16,1.768301,0.6129032,56.0895904,0.3683001,NA,NA,1.6925935,154.8970128,62.4,-8.6222164,0.5189367,52.1273754,0.36448,NA,NA,0.3238165,32.5274822,203.68,38.5000576,0.5552312,44.4389032,0.3818045,NA,NA,1.130895,90.5131581,35.04,NA,NA,NA,0.3663,NA,NA,NA,NA,328.8,NA,NA,NA,0.3663,NA,NA,NA,NA,1527.04,887.04,4.0559389,474.1836961,NA,NA,NA,NA
2,C,Baseline,4.47,0.1351905,8.6127143,37.8,4.55,1908.5219,0.7759096,0.4559711,23.4790405,0.7759096,NA,NA,87.0230888,4481.026224,583.1027016,0.132485,0.6087151,54.0973906,0.3676987,NA,NA,3.549434,315.4433461,724.6897517,43.4542621,0.4625165,52.473867,0.383626,NA,NA,3.3518097,380.2727364,11.52,69.0050517,0.269654,44.4160087,0.3930197,NA,NA,0.0310641,5.1167242,461.28,-7.8334982,0.5108204,60.5172077,0.36477,NA,NA,2.3563125,279.1537757,12.48,-9.1523227,1.2282601,54.9007305,0.3642851,NA,NA,0.1532869,6.8516112,33.92,3.8070744,0.6278155,55.0877379,0.3690497,NA,NA,0.212955,18.6857607,5.28,-12.399373,0.6974778,53.7647548,0.3630914,NA,NA,0.0368268,2.8387791,50.24,106.5657858,0.763503,44.1336579,0.4068289,NA,NA,0.3835839,22.1727497,9.12,NA,NA,NA,0.3663,NA,NA,NA,NA,152,NA,NA,NA,0.3663,NA,NA,NA,NA,735.84,540.8,2.9610743,316.1336399,NA,NA,NA,NA
2,T,Baseline,4.52,0.0173379,4.8195556,8.15,4.25,189.244,-0.8745351,1.1966487,43.4673671,-0.8745351,NA,NA,22.6458587,822.5938179,255.3741662,1.0747586,0.5011446,53.520824,0.3680451,NA,NA,1.2797938,136.6783581,635.7285047,22.9038655,0.3939508,52.0797712,0.3760706,NA,NA,2.5044577,331.0859505,0.48,24.7086912,0.323394,43.6328462,0.3767342,NA,NA,0.0015523,0.2094377,163.84,-7.6471894,0.3873116,56.4632484,0.3648385,NA,NA,0.6345713,92.5093862,21.28,-8.3794224,1.0897867,51.9664224,0.3645693,NA,NA,0.2319066,11.0584547,63.52,19.4696433,0.5085625,58.4828643,0.374808,NA,NA,0.3230389,37.1483154,31.68,-10.3500002,0.6727966,52.8927446,0.3638448,NA,NA,0.213142,16.7564215,29.28,77.9174943,0.4243839,44.6059202,0.3962964,NA,NA,0.1242596,13.0606134,8,NA,NA,NA,0.3663,NA,NA,NA,NA,48.8,NA,NA,NA,0.3663,NA,NA,NA,NA,366.88,246.56,1.2054318,133.5943135,NA,NA,NA,NA
3,C,Baseline,4.5,0.2184788,5.1572222,39.25,4.45,2092.668,-3.0164895,0.7780064,39.9434481,-3.0164895,NA,NA,162.8109042,8358.837462,328.320593,1.4395645,0.4624043,52.3968104,0.3681793,NA,NA,1.5181686,172.0295187,790.223391,20.7052564,0.3807682,53.1147566,0.3752623,NA,NA,3.0089192,419.7252309,324,22.8108268,0.2702232,44.2314683,0.3760364,NA,NA,0.8755231,143.3099574,129.44,-7.4544711,0.3003499,55.4161304,0.3649094,NA,NA,0.388773,71.7306392,60.96,-9.0939691,1.1010245,56.8128868,0.3643066,NA,NA,0.6711845,34.6331358,205.92,5.3448681,0.6350661,57.0538933,0.369615,NA,NA,1.307728,117.485377,17.76,-9.4195875,0.6742336,53.8129703,0.3641869,NA,NA,0.1197439,9.5571835,198.88,656.3704419,0.5370254,45.1831537,0.6089646,NA,NA,1.0680362,89.8602562,15.2,NA,NA,NA,0.3663,NA,NA,NA,NA,121.28,NA,NA,NA,0.3663,NA,NA,NA,NA,1073.44,731.04,3.1232607,349.0911721,NA,NA,NA,NA
3,T,Baseline,4.61,0.0850037,8.071,44.4,5.45,1101.6171,0.0036537,0.4362951,28.8791012,0.0036537,NA,NA,48.0630137,3181.371044,316.282089,5.7962445,0.4177295,52.5306598,0.369781,NA,NA,1.3212035,166.145068,1465.04035,16.8852868,0.3644643,54.8974432,0.3738579,NA,NA,5.3395495,804.2696936,276,54.5470777,0.2639523,44.8363699,0.3877042,NA,NA,0.7285084,123.748381,174.72,-8.8777327,0.5837028,54.340592,0.3643861,NA,NA,1.0198456,94.9438824,48.48,-7.9452318,1.1592349,52.9183754,0.3647289,NA,NA,0.5619971,25.6548284,143.2,8.0619668,0.5986986,56.4746673,0.370614,NA,NA,0.8573364,80.8717236,10.08,-8.2815402,0.627178,53.3497758,0.3646053,NA,NA,0.0632195,5.3776574,59.04,330.3203239,0.5444311,45.2455507,0.4890923,NA,NA,0.3214321,26.7129731,4.48,NA,NA,NA,0.3663,NA,NA,NA,NA,9.28,NA,NA,NA,0.3663,NA,NA,NA,NA,725.28,568.32,2.6950026,276.4377224,NA,NA,NA,NA
4,C,Baseline,4.3,0.0736179,8.5731429,24.05,2.85,1113.2086,1.1084054,0.920644,41.5294584,1.1084054,NA,NA,102.4868797,4623.095001,288.8747572,12.323636,0.5430383,51.9199849,0.3721808,NA,NA,1.5687007,149.9837304,1034.914567,28.6816732,0.5129791,52.7165863,0.3781948,NA,NA,5.3088959,545.5716309,22.08,19.3248777,0.4474172,44.2676149,0.3747548,NA,NA,0.0987897,9.7742894,144,-5.3017131,0.5823778,54.7468173,0.3657008,NA,NA,0.8386241,78.8354169,91.2,-7.984218,1.1985788,52.5076416,0.3647146,NA,NA,1.0931038,47.8869691,300.48,5.8691151,0.8229325,57.1368373,0.3698078,NA,NA,2.4727476,171.6847687,2.88,-6.8892884,0.7103176,52.5709826,0.3651172,NA,NA,0.0204571,1.5140443,49.28,83.2108895,0.6729351,46.0120851,0.3982425,NA,NA,0.3316224,22.6747556,38.88,NA,NA,NA,0.3663,NA,NA,NA,NA,203.2,NA,NA,NA,0.3663,NA,NA,NA,NA,852,309.44,2.3825972,160.6854752,NA,NA,NA,NA
4,T,Baseline,4.69,0.0657436,5.7802857,36.25,3.4,682.2668,NA,0.670723,29.9594034,0.3663,NA,NA,45.7612065,2044.030754,406.0528184,8.2809296,0.5175824,52.2951113,0.3706945,NA,NA,2.1016578,212.3457732,1090.593332,20.095574,0.372352,54.6788951,0.3750381,NA,NA,4.0608461,596.3243842,16.64,15.4714073,0.2978343,44.1659872,0.3733381,NA,NA,0.0495596,7.3492203,240.32,-2.9412151,0.2884615,55.7809378,0.3665687,NA,NA,0.6932306,134.0527498,44.32,-10.2925755,0.9930208,57.1660421,0.3638659,NA,NA,0.4401068,25.3359898,222.72,58.148529,0.4162241,58.9283347,0.3890283,NA,NA,0.9270144,131.2451871,40,-9.1087013,0.5447406,52.8856419,0.3643012,NA,NA,0.2178962,21.1542568,234.24,68.2804358,0.7187634,46.9714173,0.3927533,NA,NA,1.6836314,110.0258479,9.44,NA,NA,NA,0.3663,NA,NA,NA,NA,118.08,NA,NA,NA,0.3663,NA,NA,NA,NA,925.76,575.52,3.0844247,297.9180646,NA,NA,NA,NA
5,C,Baseline,4.69,0.2858041,8.3935,22,3.4,4273.6234,1.5340285,0.4244593,17.5927565,1.5340285,NA,NA,181.3979139,7518.481535,381.1123932,26.3956135,0.4450315,51.4953077,0.3773543,NA,NA,1.6960701,196.2549995,1548.641258,22.3757158,0.4360575,48.2379097,0.3758764,NA,NA,6.7529659,747.0321715,54.72,63.9936149,0.2916662,44.0781624,0.3911773,NA,NA,0.1595997,24.1195705,0,NA,NA,NA,NA,NA,NA,0,0,80.8,-7.0674257,1.1186768,55.6096745,0.3650517,NA,NA,0.9038908,44.932617,271.68,6.6050553,0.5588009,58.4386587,0.3700783,NA,NA,1.5181504,158.766148,43.52,-10.464367,0.6855371,52.5251016,0.3638028,NA,NA,0.2983458,22.8589242,115.52,177.0501641,0.8279067,47.0926712,0.4327425,NA,NA,0.9563979,54.4014538,28.48,NA,NA,NA,0.3663,NA,NA,NA,NA,150.24,NA,NA,NA,0.3663,NA,NA,NA,NA,744.96,294.56,2.3182342,146.3125654,NA,NA,NA,NA
5,T,Baseline,4.53,0.1776613,7.488,33.7,4.4,2280.2853,1.2481536,0.2006563,9.0900939,1.2481536,NA,NA,45.755352,2072.800773,518.5437572,0.299788,0.6113717,50.5348963,0.3677602,NA,NA,3.1702298,262.0455501,1469.738604,2.9090971,0.6251135,53.4610202,0.3687195,NA,NA,9.1875351,785.7372518,146.4,57.6004096,0.2589162,43.7876936,0.3888268,NA,NA,0.3790534,64.1051835,0,NA,NA,NA,NA,NA,NA,0,0,75.68,-8.5324845,1.2465502,54.431026,0.364513,NA,NA,0.9433892,41.1934005,148.8,10.3611642,0.6029742,56.8563178,0.3714593,NA,NA,0.8972256,84.6022008,85.92,-8.1878736,0.5571356,53.6543786,0.3646397,NA,NA,0.4786909,46.0998421,43.2,227.9245241,0.5163424,46.3609535,0.4514465,NA,NA,0.2230599,20.0279319,19.84,NA,NA,NA,0.3663,NA,NA,NA,NA,153.6,NA,NA,NA,0.3663,NA,NA,NA,NA,673.44,351.2,2.0241933,171.4263579,NA,NA,NA,NA
